Na,Cl,Water,Fe,Cu
4.91936532,1.65190918,3.46725501,12.52743031,12.32015517
4.83530347,1.60304797,2.93177624,12.17179192,12.06623063
4.76254816,1.56269992,2.52541364,11.85206057,11.85125565
4.70141002,1.52832523,2.23118012,11.57252425,11.67165184
4.6523022,1.49829914,2.02856245,11.32709741,11.51834824
4.6139793,1.47101614,1.8911429,11.11943018,11.39026092
4.58659852,1.44675327,1.80185491,10.94359385,11.28206752
4.56954103,1.42621086,1.7452958,10.80190795,11.194796
4.56196671,1.41064262,1.71055779,10.69087461,11.12644884
4.56259278,1.40088918,1.68936653,10.61286468,11.07855537
4.57018358,1.39801436,1.67724951,10.56665855,11.04991172
4.58322403,1.40232517,1.67116845,10.55324288,11.03993164
4.59992337,1.41324375,1.66930321,10.57119292,11.04588001
4.61896733,1.42978086,1.67051761,10.61814453,11.06366541
4.63841805,1.44991462,1.67410564,10.68853647,11.0872073
4.65629516,1.47117985,1.67944768,10.77730878,11.10998227
4.67022592,1.49071362,1.68583615,10.87483264,11.12409442
4.67799061,1.50643015,1.69269788,10.97448254,11.12271473
4.67676977,1.51616933,1.69921411,11.065853,11.10027369
4.66409655,1.51888627,1.70466823,11.14338599,11.05299511
4.63845221,1.51471238,1.70847095,11.20043386,10.98061193
4.59850272,1.50471307,1.71040063,11.23354046,10.88685285
4.54498596,1.49097703,1.71040975,11.24273412,10.7749457
4.47988794,1.47616264,1.70877101,11.22944636,10.6538254
4.40720602,1.46319602,1.70595177,11.19665607,10.52814232
4.32938827,1.45433954,1.70232554,11.14887172,10.40679029
4.25127597,1.45171219,1.69819387,11.08860564,10.29210011
4.17653063,1.4565116,1.69356748,11.01858247,10.18821321
4.10853951,1.46893074,1.68822864,10.94036056,10.09691198
4.0474527,1.48878787,1.68158004,10.85164466,10.01568279
3.9944501,1.51483683,1.67311626,10.7529062,9.94464817
3.94909948,1.54530797,1.66239574,10.64107327,9.88045117
3.91081958,1.57760573,1.6493928,10.51868487,9.82263006
3.87773251,1.60981132,1.63401966,10.38542986,9.76850044
3.84927888,1.63882081,1.61692698,10.24826821,9.71799197
3.82470537,1.66189869,1.59889811,10.11032507,9.66903269
3.80366975,1.67649062,1.58099846,9.9797667,9.62109915
3.7852806,1.68097275,1.56366633,9.86407329,9.57347738
3.76922334,1.6739126,1.54769133,9.76563237,9.5238042
3.7547198,1.65490912,1.53338436,9.68869956,9.47163135
3.74083914,1.62480156,1.52087637,9.63090141,9.41446833
3.72597342,1.58425725,1.50967935,9.5895256,9.35236176
3.70882128,1.53553059,1.49955582,9.55702894,9.28338406
3.68805289,1.48114097,1.4900981,9.52528657,9.20814968
3.66299968,1.42448052,1.4810507,9.48553154,9.1282572
3.63280904,1.36718237,1.47199516,9.42857117,9.04352762
3.59814401,1.31240426,1.46291877,9.34942269,8.95773291
3.56023443,1.26224527,1.45381978,9.24338555,8.87155505
3.52139051,1.2185506,1.44485279,9.11319077,8.78924976
3.48312595,1.18107436,1.43591768,8.96022189,8.71139685
3.44825173,1.15019545,1.42718879,8.79433355,8.6412741
3.41889256,1.12515236,1.41873936,8.62054937,8.57836122
3.39675774,1.10492221,1.41073341,8.44938811,8.52348226
3.38211019,1.08770471,1.40313448,8.29050598,8.47638105
3.3751111,1.07243689,1.39624501,8.14714787,8.43490455
3.37494444,1.05818469,1.39040886,8.02691062,8.39867522
3.38025112,1.04469286,1.3861509,7.93041469,8.36613371
3.38971067,1.0319118,1.38401056,7.86149741,8.33801437
3.40197575,1.02080275,1.38477887,7.81993638,8.3150091
3.4160546,1.01263538,1.3892307,7.80746013,8.30010425
3.43136039,1.00890305,1.3980768,7.82451607,8.29659649
3.44748362,1.0109894,1.41167497,7.8716805,8.30882205
3.46469967,1.02002868,1.43051399,7.94737029,8.34013747
3.48274369,1.03654128,1.45426024,8.05082268,8.39359265
3.50123801,1.06026227,1.48218278,8.17526905,8.46814844
3.51918305,1.08974706,1.51269159,8.31565358,8.56227047
3.53563658,1.12370898,1.54468034,8.45867162,8.66759992
3.54864844,1.15934723,1.5757376,8.59425241,8.77659202
3.55620372,1.19381447,1.60358646,8.70648514,8.87611076
3.55635222,1.22402878,1.62582593,8.78074916,8.95259657
